end_date,age_grp,daily_cases,weekly_cases,pop,prop_cases
Mar 06,30 to 39,113,870,844497,1.03019904155965
Mar 06,40 to 49,113,855,815370,1.0486037013871
Mar 06,50 to 59,111,822,871660,0.943028244957896
Mar 06,60 to 69,72,558,772889,0.721966543708088
Mar 06,70 to 79,27,186,450969,0.412445201333129
Mar 06,80 and older,5,86,253527,0.339214363756129
Mar 13,0 to 19,148,1129,1752893,0.644078104025745
Mar 13,20 to 29,140,1087,930073,1.16872546563549
Mar 13,30 to 39,109,890,844497,1.05388177814723
Mar 13,40 to 49,105,753,815370,0.923507119467236
Mar 13,50 to 59,90,727,871660,0.834040795723103
Mar 13,60 to 69,77,488,772889,0.631397264031446
Mar 13,70 to 79,15,141,450969,0.31266007197834
Mar 13,80 and older,12,82,253527,0.323436951488402
Mar 20,0 to 19,170,1182,1752893,0.674313834329876
Mar 20,20 to 29,154,1067,930073,1.14722177721534
Mar 20,30 to 39,125,875,844497,1.03611972570654
Mar 20,40 to 49,117,810,815370,0.993414032893042
Mar 20,50 to 59,105,765,871660,0.87763577541702
Mar 20,60 to 69,56,438,772889,0.566704921405273
Mar 20,70 to 79,28,149,450969,0.330399650530303
Mar 20,80 and older,7,64,253527,0.252438596283631
Mar 27,0 to 19,184,1233,1752893,0.703408593679135
Mar 27,20 to 29,209,1323,930073,1.42246898899334
Mar 27,30 to 39,148,1043,844497,1.2350547130422
Mar 27,40 to 49,141,967,815370,1.18596465408342
Mar 27,50 to 59,136,876,871660,1.00497900557557
Mar 27,60 to 69,77,503,772889,0.650804966819297
Mar 27,70 to 79,17,178,450969,0.394705622781167
Mar 27,80 and older,13,86,253527,0.339214363756129
Apr 03,0 to 19,179,1404,1752893,0.800961610320767
Apr 03,20 to 29,222,1589,930073,1.70846804498142
Apr 03,30 to 39,185,1212,844497,1.43517383720724
Apr 03,40 to 49,131,1163,815370,1.42634632130199
Apr 03,50 to 59,116,945,871660,1.08413831080926
Apr 03,60 to 69,67,509,772889,0.658568047934438
Apr 03,70 to 79,27,190,450969,0.421314990609111
Apr 03,80 and older,11,70,253527,0.276104714685221
Apr 10,0 to 19,273,1594,1752893,0.909353851033691
Apr 10,20 to 29,232,1742,930073,1.87297126139561
Apr 10,30 to 39,220,1420,844497,1.68147429771805
Apr 10,40 to 49,185,1212,815370,1.48644173810663
Apr 10,50 to 59,157,1015,871660,1.16444485235069
Apr 10,60 to 69,69,558,772889,0.721966543708088
Apr 10,70 to 79,34,250,450969,0.55436182974883
Apr 10,80 and older,12,88,253527,0.347103069889992
Apr 17,0 to 19,251,1931,1752893,1.10160745692977
Apr 17,20 to 29,209,1971,930073,2.1191884938064
Apr 17,30 to 39,193,1631,844497,1.931327168717
Apr 17,40 to 49,134,1418,815370,1.73908777610165
Apr 17,50 to 59,113,1137,871660,1.30440768189432
Apr 17,60 to 69,72,630,772889,0.815123517089776
Apr 17,70 to 79,28,239,450969,0.529969909239881
Apr 17,80 and older,7,101,253527,0.398379659760104
Apr 24,0 to 19,189,1542,1752893,0.879688606206996
Apr 24,20 to 29,175,1473,930073,1.58374665214451
Apr 24,30 to 39,162,1246,844497,1.47543448940612
Apr 24,40 to 49,103,977,815370,1.19822902485988
Apr 24,50 to 59,97,847,871660,0.971709152651263
Apr 24,60 to 69,66,516,772889,0.667624975902102
Apr 24,70 to 79,19,198,450969,0.439054569161073
Apr 24,80 and older,7,92,253527,0.362880482157719
May 01,0 to 19,240,1836,1752893,1.04741133657331
May 01,20 to 29,218,1572,930073,1.69018990982428
May 01,30 to 39,186,1419,844497,1.68029016088867
May 01,40 to 49,182,1249,815370,1.53181990997952
May 01,50 to 59,96,901,871660,1.03365991326894
May 01,60 to 69,78,582,772889,0.75301886816865
May 01,70 to 79,38,235,450969,0.5211001199639
May 01,80 and older,11,86,253527,0.339214363756129
May 08,0 to 19,212,1642,1752893,0.93673715395064
May 08,20 to 29,197,1428,930073,1.53536335319916
May 08,30 to 39,140,1270,844497,1.50385377331121
May 08,40 to 49,128,1096,815370,1.34417503709972
May 08,50 to 59,116,834,871660,0.956795080650712
May 08,60 to 69,59,483,772889,0.624928029768828
May 08,70 to 79,25,214,450969,0.474533726264998
May 08,80 and older,10,110,253527,0.43387883736249
May 15,0 to 19,173,1365,1752893,0.778712676700746
May 15,20 to 29,148,1081,930073,1.16227435910945
May 15,30 to 39,131,1016,844497,1.20308301864897
May 15,40 to 49,110,869,815370,1.06577382047414
May 15,50 to 59,70,696,871660,0.798476470183328
May 15,60 to 69,46,435,772889,0.562823380847703
May 15,70 to 79,28,207,450969,0.459011595032031
May 15,80 and older,14,87,253527,0.34315871682306
May 22,0 to 19,111,1044,1752893,0.595586838443647
May 22,20 to 29,126,927,930073,0.996695958274243
